comparison,n,mean,std,min,max,mean_r,ci_low_r,ci_high_r,mean_z,ci_low_z,ci_high_z,t_stat,p_value
intra:vdvae:emonet:alpha_-4_vs_alpha_0,982,0.7336715459823608,0.11498226970434189,0.2636673152446747,0.9669687747955322,0.7563710013878779,0.7489460430943474,0.7636060465936113,0.987679228811816,0.9705503703077122,1.0048080873159198,113.15447779384886,0.0
intra:vdvae:emonet:alpha_-2_vs_alpha_0,982,0.8458952903747559,0.08369506895542145,0.4893735945224762,0.9853587746620178,0.866547896964245,0.8615587373947905,0.8713696805598702,1.319051662349578,1.2993616538266006,1.3387416708725555,131.46197345558505,0.0
intra:vdvae:emonet:alpha_+2_vs_alpha_0,981,0.8476127982139587,0.0850309282541275,0.5201102495193481,0.9918574690818787,0.8698048265046009,0.8646690820928093,0.8747587623153686,1.3322773371944547,1.3115579288306085,1.352996745558301,126.18335886338637,0.0
intra:vdvae:emonet:alpha_+4_vs_alpha_0,965,0.7041710615158081,0.1382092386484146,-0.31371623277664185,0.9445104598999023,0.7315562698472605,0.7228619200276702,0.7400190207487846,0.9320672701001934,0.9136131142002389,0.9505214260001479,99.11668749509495,0.0
intra:vdvae:memnet:alpha_-4_vs_alpha_0,866,0.42841020226478577,0.23484943807125092,-0.4970752000808716,0.9131550192832947,0.4630606371662656,0.4460022853206945,0.4797827041495116,0.5012003387706744,0.47969871077468684,0.5227019667666619,45.75053818432786,3.579919909984935e-233
intra:vdvae:memnet:alpha_-2_vs_alpha_0,972,0.741973876953125,0.12865237891674042,0.20013177394866943,0.9700369238853455,0.7722408162215262,0.7638900277007119,0.7803330341263971,1.0258555817307424,1.005489605621207,1.0462215578402778,98.84865555560332,0.0
intra:vdvae:memnet:alpha_+2_vs_alpha_0,982,0.7687599062919617,0.1057785227894783,0.32527241110801697,0.9646666049957275,0.7909370121795378,0.7842430625360438,0.7974468560348504,1.0739293243360184,1.0562985325618441,1.0915601161101927,119.5330857396987,0.0
intra:vdvae:memnet:alpha_+4_vs_alpha_0,981,0.5646671652793884,0.18271638453006744,-0.20351000130176544,0.9351004362106323,0.5946753385767631,0.5827495136172327,0.6063450784865332,0.6848685329520942,0.6666160419469553,0.703121023957233,73.63255370977289,0.0
intra:versatile_diffusion:emonet:alpha_-4_vs_alpha_0,982,0.2095804661512375,0.1391102820634842,-0.21832148730754852,0.7069521546363831,0.21505507353174233,0.20582277332545634,0.22424909479298477,0.2184655624005208,0.2088053843123732,0.22812574048866843,44.37946886673892,8.331068269708987e-237
intra:versatile_diffusion:emonet:alpha_-2_vs_alpha_0,982,0.4680206775665283,0.15263815224170685,0.11076150089502335,0.8811839818954468,0.4855093372334245,0.4749147894078308,0.49596317252697336,0.5301677867631616,0.5163974709504429,0.5439381025758803,75.55334236878774,0.0
intra:versatile_diffusion:emonet:alpha_+2_vs_alpha_0,982,0.38717004656791687,0.15534557402133942,0.06658931821584702,0.8540356159210205,0.4008408873052233,0.3902254967676546,0.41134972581313883,0.42465038785020764,0.41206600943305294,0.43723476626736235,66.21921100325311,0.0
intra:versatile_diffusion:emonet:alpha_+4_vs_alpha_0,982,0.4058426320552826,0.15182490646839142,-0.04313456267118454,0.8745418190956116,0.4193837300119259,0.40908334535113927,0.42957725097117594,0.4469439947656503,0.43450983955040434,0.4593781499808962,70.53766318977965,0.0
intra:versatile_diffusion:memnet:alpha_-4_vs_alpha_0,982,0.2286050170660019,0.14429648220539093,-0.14664220809936523,0.7472701668739319,0.23463373587436417,0.22517102852933873,0.24405218359374553,0.2390875695249252,0.22909670266668827,0.2490784363831621,46.961079519302416,3.422727617809376e-253
intra:versatile_diffusion:memnet:alpha_-2_vs_alpha_0,982,0.4094074070453644,0.1628570258617401,0.07051099091768265,0.8669427633285522,0.42653371076917573,0.41511337502735673,0.4378196432690385,0.45565182405144034,0.44177345278894015,0.4695301953139405,64.42862425858496,0.0
intra:versatile_diffusion:memnet:alpha_+2_vs_alpha_0,982,0.42013320326805115,0.15012595057487488,0.033983536064624786,0.865803599357605,0.43416305694125806,0.4239192690029958,0.44429577923235636,0.46501538611751675,0.4524602941966714,0.4775704780383621,72.68280377224379,0.0
intra:versatile_diffusion:memnet:alpha_+4_vs_alpha_0,982,0.34509041905403137,0.15208227932453156,-0.14300982654094696,0.8275154829025269,0.35587880591998994,0.3456993957508894,0.36597446299441766,0.3721590951883513,0.36055113417264906,0.3837670562040535,62.91539713087535,0.0
