model,network,subject,alpha,n,ssim_mean,ssim_std
vdvae,emonet,subj01,alpha -4,982,0.3681745522573985,0.1318136889820901
vdvae,emonet,subj01,alpha -2,982,0.5385209418029018,0.14527301131808298
vdvae,emonet,subj01,alpha 2,982,0.6215693714528691,0.16254249655543554
vdvae,emonet,subj01,alpha 4,982,0.472721266052777,0.22406131125517384
vdvae,emonet,subj02,alpha -4,982,0.3355537127862758,0.1332214025054272
vdvae,emonet,subj02,alpha -2,982,0.5348635730760404,0.15036482035670387
vdvae,emonet,subj02,alpha 2,982,0.6172733063288076,0.16549080620002188
vdvae,emonet,subj02,alpha 4,982,0.5052304791602285,0.20600308454722802
vdvae,emonet,subj05,alpha -4,982,0.518030631429916,0.1637143666878746
vdvae,emonet,subj05,alpha -2,982,0.6180199821102158,0.16391617972129122
vdvae,emonet,subj05,alpha 2,982,0.6536874156029749,0.16554620185892852
vdvae,emonet,subj05,alpha 4,982,0.5911083430428168,0.18238499461610005
vdvae,emonet,subj07,alpha -4,982,0.44181500976173066,0.14844695929279952
vdvae,emonet,subj07,alpha -2,982,0.579108153502106,0.1559425496417212
vdvae,emonet,subj07,alpha 2,982,0.6531805033937677,0.15706716223812525
vdvae,emonet,subj07,alpha 4,982,0.5777985285399293,0.18776450719473292
