model,network,subject,alpha,n,ssim_mean,ssim_std
vdvae,memnet,subj01,alpha -4,982,0.4341204665269938,0.216543639338197
vdvae,memnet,subj01,alpha -2,982,0.6123032782647888,0.15240381729363442
vdvae,memnet,subj01,alpha 2,982,0.5849047371484112,0.13960678354795608
vdvae,memnet,subj01,alpha 4,982,0.46188617339490506,0.14356792091791135
vdvae,memnet,subj02,alpha -4,982,0.5578844298909805,0.17321238025174301
vdvae,memnet,subj02,alpha -2,982,0.6421905853415701,0.15238327837968726
vdvae,memnet,subj02,alpha 2,982,0.6290940137659702,0.1454723175544173
vdvae,memnet,subj02,alpha 4,982,0.5420706809902386,0.14448847443210477
vdvae,memnet,subj05,alpha -4,982,0.47886081463569297,0.23362718945380193
vdvae,memnet,subj05,alpha -2,982,0.6256363248913434,0.17598378032632855
vdvae,memnet,subj05,alpha 2,982,0.5550114062677333,0.15685348472585192
vdvae,memnet,subj05,alpha 4,982,0.4083473547883408,0.14629596892968127
vdvae,memnet,subj07,alpha -4,982,0.4656430411312079,0.23061705575634311
vdvae,memnet,subj07,alpha -2,982,0.6171314025610078,0.1678916965085068
vdvae,memnet,subj07,alpha 2,982,0.5717832294810571,0.14624404229043902
vdvae,memnet,subj07,alpha 4,982,0.43567132238913214,0.1431624183411392
