model,network,subject,alpha,n,ssim_mean,ssim_std
versatile_diffusion,memnet,subj01,alpha -4,982,0.15406780739840265,0.08799953830179692
versatile_diffusion,memnet,subj01,alpha -2,982,0.20529245955456055,0.11242283607871761
versatile_diffusion,memnet,subj01,alpha 2,982,0.19740140096658115,0.11476266673569259
versatile_diffusion,memnet,subj01,alpha 4,982,0.17301711627109595,0.10018438278079006
versatile_diffusion,memnet,subj02,alpha -4,982,0.17201982488449807,0.09870491846836335
versatile_diffusion,memnet,subj02,alpha -2,982,0.20933524955466176,0.11702580068167523
versatile_diffusion,memnet,subj02,alpha 2,982,0.19504249735513432,0.11397845281036409
versatile_diffusion,memnet,subj02,alpha 4,982,0.18527785550931927,0.10650056293618285
versatile_diffusion,memnet,subj05,alpha -4,982,0.1364003374504946,0.08532829085908132
versatile_diffusion,memnet,subj05,alpha -2,982,0.19895420473281392,0.11580736507407838
versatile_diffusion,memnet,subj05,alpha 2,982,0.17915523871627698,0.10521771992076792
versatile_diffusion,memnet,subj05,alpha 4,982,0.1600627473986076,0.09204695127927
versatile_diffusion,memnet,subj07,alpha -4,982,0.13674437066790499,0.08305371152032757
versatile_diffusion,memnet,subj07,alpha -2,982,0.19713228595938131,0.11234739216211578
versatile_diffusion,memnet,subj07,alpha 2,982,0.18230171590406152,0.10608181858380468
versatile_diffusion,memnet,subj07,alpha 4,982,0.15947264035340483,0.09073647462617258
